Rank,Score,Title,Date,Views,Transcript,Category,URL,TranscriptSource
A,70.0,Intro to Notepad,2024-08-15,2768,无,,https://www.youtube.com/watch?v=ElEtTvrBSxA,youtube
A,76.0,Preparing PDFs for RAG Workflows,2025-09-13,2897,无,,https://www.youtube.com/watch?v=Dy6AfucqbBI,youtube
A,78.0,Build with Us: Speedrun Your First End-to-End Workflow,2024-08-28,44937,无,,https://www.youtube.com/watch?v=f61gXVH-QZE,youtube
A,76.0,Deep Dive: Creating Your First Data Connection,2025-09-12,3541,无,,https://www.youtube.com/watch?v=VIsNafgA6-0,youtube
A,76.0,Deep Dive: Data Analysis in Contour,2025-09-12,1577,无,,https://www.youtube.com/watch?v=wnMOY0Ezo6o,youtube
A,76.0,AIP Study Buddy: Building an AIP-Powered Flashcard App in Foundry,2026-01-28,897,有,,https://www.youtube.com/watch?v=Yztrx5Vi8VI,youtube
A,76.0,Using Media Set Inputs in AIP Logic,2025-04-16,1971,无,,https://www.youtube.com/watch?v=GBza2yuLi88,youtube
A,76.0,Tool Use in AIP Logic:  Object Queries,2025-10-08,1425,有,,https://www.youtube.com/watch?v=r_qZK6P_hqw,youtube
A,76.0,Using an AIP Logic Function in a Notepad Template,2025-11-26,1096,有,,https://www.youtube.com/watch?v=TjL6By6ylM0,youtube
B,55.0,Object Sets 101,2023-05-31,5136,无,,https://www.youtube.com/watch?v=PTt2G6Xnxow,youtube
A,76.0,Speedrun: Your First Ontology Function,2025-03-26,6511,无,,https://www.youtube.com/watch?v=vu9oMVPNkZk,youtube
A,76.0,Deep Dive: Building Your First Pipeline,2025-09-12,4584,无,,https://www.youtube.com/watch?v=MG3KRXCfNaU,youtube
A,76.0,Improving Object Queries AIP Logic Using Ontology Metadata,2025-10-15,1178,有,,https://www.youtube.com/watch?v=2i_b7kdrLzs,youtube
A,76.0,Interacting with HuggingFace Using Webhooks,2025-01-22,2405,无,,https://www.youtube.com/watch?v=5CM_Kvig1eA,youtube
B,55.0,Palantir Foundry: Contour 101,2023-06-12,19543,无,,https://www.youtube.com/watch?v=3yzenPa5jOQ,youtube
A,76.0,Speedrun: Mining Your First Business Process,2025-09-12,2051,无,,https://www.youtube.com/watch?v=JDGEtv_X3lE,youtube
A,76.0,Deep Dive: Building Your First Application,2025-09-13,6124,无,,https://www.youtube.com/watch?v=NWnI-8c_Fvs,youtube
A,76.0,Deep Dive: Creating Your First Ontology,2025-09-12,11916,无,,https://www.youtube.com/watch?v=wP5g8uXvPbg,youtube
A,70.0,Build with Us | Deep Dive: Building Your First Pipeline,2024-07-31,12478,无,,https://www.youtube.com/watch?v=I9iOqre7gqk,youtube
